Sl. No.,Management,District,Lower Primary,,,Upper Primary,,, Elementary Schools,,,Secondary,,,Higher Secondary(PU Sections) ,,
,,,Rural,Urban,Total,Rural,Urban,Total,Rural,Urban,Total,Rural,Urban,Total,Rural,Urban,Total
224,90-Social Welfare Department Schools,KODAGU-2925,1,0,1,0,1,1,1,1,2,0,1,1,0,0,0
225,90-Social Welfare Department Schools,KOLAR-2919,0,1,1,2,0,2,2,1,3,2,0,2,0,0,0
226,90-Social Welfare Department Schools,KOPPAL-2907,0,0,0,3,6,9,3,6,9,1,2,3,1,0,1
227,90-Social Welfare Department Schools,MANDYA-2922,2,0,2,37,4,41,39,4,43,36,3,39,2,0,2
228,90-Social Welfare Department Schools,MYSURU-2926,0,0,0,8,0,8,8,0,8,8,0,8,1,0,1
229,90-Social Welfare Department Schools,RAICHUR-2906,0,0,0,0,1,1,0,1,1,0,1,1,0,0,0
230,90-Social Welfare Department Schools,RAMANAGARA-2932,3,0,3,9,3,12,12,3,15,9,3,12,0,0,0
231,90-Social Welfare Department Schools,SHIVAMOGGA-2915,0,0,0,0,3,3,0,3,3,0,0,0,1,0,1
232,90-Social Welfare Department Schools,TUMAKURU MADHUGIRI-2931,0,0,0,10,4,14,10,4,14,10,3,13,2,0,2
233,90-Social Welfare Department Schools,TUMAKURU-2918,0,0,0,6,5,11,6,5,11,2,1,3,0,0,0
234,90-Social Welfare Department Schools,UDUPI-2916,0,0,0,1,1,2,1,1,2,1,0,1,1,0,1
235,90-Social Welfare Department Schools,UTTARA KANNADA SIRSI-2934,2,0,2,3,1,4,5,1,6,3,1,4,1,0,1
236,90-Social Welfare Department Schools,UTTARA KANNADA-2910,0,0,0,7,3,10,7,3,10,7,3,10,0,0,0
